Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Customer / Success,Customer Success Manager – Compliance Software,India / Remote,Help customers use Avalara’s software effectively.,"Communication, SaaS knowledge, Troubleshooting",10,16,13,Avalara
Customer / Success,Customer Success Manager – Ecommerce Clients,India / Remote,Help e-commerce clients use Bazaarvoice’s platform effectively.,"Communication, SaaS knowledge, analytics",10,16,13,Bazaarvoice
Customer / Success,Customer Success Manager – Developer Platform,India,Help developers and enterprise clients get value from BrowserStack’s tools.,"Communication, SaaS understanding, Technical familiarity",10,14,12,BrowserStack
Customer / Success,Customer Success Manager – Integration Platform,India / Remote,Help clients deploy/ use Celigo’s integration solutions successfully.,"Communication, SaaS, Integration domain",10,16,13,Celigo
Customer / Success,Customer Success Manager – Security Clients,India / Remote,Help enterprise clients adopt CrowdStrike’s security platform and services.,"Communication, SaaS knowledge, technical aptitude",10,16,13,CrowdStrike
Customer / Success,Customer Success Manager – SMB/EU Region,India / Remote,Ensure customers derive value from Dashlane’s identity/security product.,"Communication, SaaS knowledge, Support skills",10,15,12.5,Dashlane
Customer / Success,Customer Success Manager – Cloud Platform,India / Remote,Help customers adopt and use DigitalOcean’s cloud services effectively.,"Communication, Cloud-platform knowledge",10,16,13,DigitalOcean
Customer / Success,Customer Success Manager – SaaS Clients,India,Ensure clients derive value from Freshworks’ software.,"Communication, SaaS tools, analytics",10,14,12,Freshworks
Customer / Success,Customer Success Manager – SaaS Platform,India,Help clients adopt LambdaTest’s testing-platform solutions.,"Communication, SaaS knowledge",10,17,13.5,LambdaTest
Customer / Success,Customer Success Manager – Enterprise Clients,India,Ensure enterprise clients get value from MindTickle’s product.,"Communication, SaaS knowledge",10,18,14,MindTickle
Customer / Success,Technical Support / Implementation Engineer,India (Bengaluru),Implement and support Observe.AI’s solutions for enterprise clients.,"Communication, SaaS/AI product knowledge",10,16,13,Observe.AI
Customer / Success,Customer Success Engineer – Privacy Solutions,India,Help enterprise clients adopt Privado.ai’s privacy/tech platform.,"Communication, SaaS, domain knowledge",10,15,12.5,Privado.ai
Customer / Success,Customer Success Manager – Cloud CRM Clients,India,Help clients adopt and succeed with Salesforce’s CRM/cloud solutions.,"Communication, SaaS knowledge",10,10,10,Salesforce
Customer / Success,Customer Success Manager – Enterprise Platform,India / Remote,Ensure enterprise users succeed with Sprinklr’s platform.,"Communication, SaaS domain",10,9,9.5,Sprinklr
Customer / Success,Customer Success Manager – Enterprise Analytics,India,Help enterprise clients adopt ThoughtSpot’s analytics platform.,"Communication, SaaS knowledge",10,11,10.5,ThoughtSpot
Customer / Success,Customer Success Manager – Enterprise Clients,Remote/India,Help enterprise clients adopt/use Toptal’s platform/talent services.,"Communication, SaaS/domain knowledge",10,18,14,Toptal
Customer / Success,Customer Success Manager – Platform Partners,India / Remote,Support partners/advertisers using Roku’s platform.,"Communication, SaaS/platform knowledge",10,16,13,"Roku, Inc."
Customer / Success,Customer Success Manager – Retail Clients,India,Help retail clients implement and use Capillary’s platform value.,"Communication, SaaS knowledge, Retail domain",9,14,11.5,Capillary Technologies
Customer / Success,Customer Success Manager – FinTech Clients,India,Help clients adopt FICO’s software and analytics solutions.,"Communication, SaaS knowledge, analytics",9,15,12,FICO
Customer / Success,Customer Success Manager – Merchant Platform,India,Help merchants adopt and use BillDesk’s payment services.,"Communication, SaaS domain, Merchant service knowledge",9,16,12.5,BillDesk
Customer / Success,Customer Success Manager – Merchant Platform,India,Ensure merchants/adoption of MTX B2B’s fintech platform.,"Communication, SaaS understanding",9,13,11,MTX B2B
Customer / Success,Customer Success Manager – Data/FinTech Clients,India / Remote,Manage client relationships for Nasdaq’s data and tech services.,"Communication, FinTech/Market domain knowledge",9,16,12.5,Nasdaq
Customer / Success,Customer Success Engineer – Analytics Platform,India,Help clients adopt Proximity’s analytics/tools platform.,"Communication, tool usage, analytics",9,15,12,Proximity
Customer / Success,Customer Success Manager – Enterprise Platform Clients,Remote/India,Support enterprise users of Topcoder’s platform.,"Communication, SaaS/platform understanding",9,16,12.5,Topcoder
Customer / Success,Client Success Manager – Financial APIs,India,Help enterprise clients adopt Yodlee’s API/data tools.,"Communication, SaaS knowledge",9,12,10.5,Yodlee
Customer / Success,Customer Success Manager – Events Platform,India / Remote,Help clients successfully adopt Cvent’s event & meeting software solutions.,"Communication, SaaS knowledge, Client handling",8,17,12.5,Cvent
Customer / Success,Customer Success Manager – Healthcare Clients,India,Ensure hospitals/clinics use HealthAsyst’s software effectively.,"Communication, SaaS knowledge, Domain understanding",8,16,12,HealthAsyst
Customer / Success,Customer Success Manager – HR Platform,India,Help enterprise clients adopt and use PeopleStrong’s HR-tech products.,"Communication, SaaS product knowledge",8,16,12,PeopleStrong
Customer / Success,Technical Support Engineer – Database Platform,India,Provide technical support for Yugabyte’s distributed database product.,"Communication, database knowledge, troubleshooting",8,14,11,Yugabyte
Customer / Success,Technical Support Engineer – Tech Monitoring,India (Pune),Provide technical support for LogicMonitor’s global tech-monitoring platform.,"Troubleshooting, Communication, Monitoring knowledge",7,14,10.5,LogicMonitor
Customer / Success,Technical Support Engineer – API Platform,India / Remote,Support clients using SearchAPI.IO’s API and data-services.,"Communication, APIs, troubleshooting",7,17,12,SearchAPI.IO
Customer / Success,Talent/Client Success Specialist – Platform Clients,India / Remote,Help freelancers and clients succeed on Upwork’s marketplace.,"Communication, platform knowledge",7,11,9,Upwork
Customer / Success,Learner Success Manager – EdTech,India / Remote,"Support learners, help them succeed on Multiverse’s platform.","Communication, Coaching, Basic Analytics",6,13,9.5,Multiverse
Customer / Success,Customer Success Associate – Teacher/School Clients,India,Help clients (teachers/schools) adopt ClassPlus platform.,"Communication, Edu domain knowledge",6,16,11,ClassPlus
Customer / Success,Learner Success Manager – EdTech Platform,India,Help learners/students succeed with UpGrad’s online programs.,"Communication, Edu-tech domain knowledge",6,15,10.5,UpGrad
Customer / Success,Student Success Manager – Learning Platform,India,Help learners succeed and use Coding Ninjas platform effectively.,"Communication, Edu tech knowledge",5,14,9.5,Coding Ninjas
Customer / Support,Customer Success Manager – SaaS,India / Remote,Ensure successful usage & retention of Ramp’s platform for clients.,"Communication, SaaS product knowledge",10,11,10.5,Ramp
Customer / Support,Technical Support Engineer – Devices,India / Remote,Provide technical support for Apple hardware/software products.,"Troubleshooting, Communication, Product knowledge",10,9,9.5,Apple
Customer / Support,Customer Success Manager – Health Platforms,India / Remote,Ensure customers effectively use athenahealth’s services.,"Communication, SaaS knowledge",10,10,10,athenahealth
Customer / Support,Technical Support Engineer – SaaS,India / Remote,Provide technical assistance and support for enterprise SaaS clients.,"Troubleshooting, Communication, SaaS knowledge",10,10,10,Atlassian
Customer / Support,Technical Support Engineer – Semiconductor Systems,India,Provide technical support for Broadcom’s customers using hardware/software.,"Troubleshooting, Communication, Domain knowledge",10,10,10,Broadcom
Customer / Support,Technical Support Engineer – Trading Platforms,India / Remote,Provide technical/operational support for trading platforms at Citadel Securities.,"Troubleshooting, communication, trading domain",10,10,10,Citadel Securities
Customer / Support,Customer Success Manager – SaaS Enterprise,India / Remote,Ensure enterprise clients use Druva’s data-protection platform successfully.,"Communication, SaaS knowledge",10,16,13,Druva
Customer / Support,Customer Success Manager – SaaS Users,India / Remote,Help clients use HubSpot’s platform successfully.,"Communication, CRM, SaaS fundamentals",10,12,11,HubSpot
Customer / Support,Customer Success Engineer – API Platform,India / Remote,Help enterprise clients adopt and use Postman’s API tools.,"Communication, SaaS product knowledge",10,10,10,Postman
Customer / Support,Customer Success Manager – Platform Clients,India / Remote,Help enterprise/partner clients use Quora’s knowledge-platform services.,"Communication, SaaS platform knowledge",10,10,10,Quora
Customer / Support,Customer Success Manager – Enterprise ChatBot Clients,India,Ensure enterprise clients adopt Yellow.ai’s conversational-AI services.,"Communication, SaaS/domain knowledge",10,8,9,Yellow .ai
Customer / Support,Technical Support Engineer – EDA Tools,India,Provide technical support for clients using Cadence’s software.,"Troubleshooting, communication, domain knowledge",9,12,10.5,Cadence
Customer / Support,Customer Success Associate – Crypto Users,India / Remote,"Help users with crypto queries, wallet management and platform support.","Communication, Crypto basics, Troubleshooting",9,9,9,Coinbase
Customer / Support,Technical Support Engineer – Trading Platforms,India / Remote,Provide support for trading systems and software used in finance.,"Communication, Tech knowledge, Finance awareness",9,10,9.5,DE SHAW & Co. India
Customer / Support,Customer Success Associate – Medical Platform,India / Remote,Assist medical professionals with using Doximity’s platform and tools.,"Communication, Healthcare software understanding",9,12,10.5,Doximity
Customer / Support,Technical Support Engineer – Security SW,India / Remote,Provide technical assistance for FireEye’s software/security tools.,"Troubleshooting, communication, security basics",9,12,10.5,FireEye
Customer / Support,Customer Success Manager – Hiring Platform,India / Remote,Support clients using HackerRank’s assessment platform.,"Communication, SaaS knowledge",9,16,12.5,HackerRank
Customer / Support,Customer Success Manager – SaaS Clients,India,Help enterprise clients effectively use Rippling’s platform and services.,"Communication, SaaS/Domain knowledge",9,14,11.5,Rippling
Customer / Support,Customer Success Manager – Analytics Platform,India,Support clients using Sigmoid’s analytics platform.,"Communication, Analytics/product-understanding",9,15,12,Sigmoid
